Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/button_Se connecter""))",Chrome 122.0.0.0,,,04-03-2024 16:02:01,04-03-2024 16:02:02,"1,196s",PASSED
"verifyElementText(findTestObject(""Page_Crdit Auto  QSI Conseil/h4_Bienvenue sur lapplication Crdit Auto""), ""Bienvenue sur l'application Crédit Auto"")",Chrome 122.0.0.0,,,04-03-2024 16:02:02,04-03-2024 16:02:02,"0,466s",PASSED
"click(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/a_Dconnexion""))",Chrome 122.0.0.0,,,04-03-2024 16:02:02,04-03-2024 16:02:06,"3,361s",PASSED
"verifyElementPresent(findTestObject(""Page_Crdit Auto  QSI Conseil/a_Accs Crdit Auto""), 0)",Chrome 122.0.0.0,,,04-03-2024 16:02:06,04-03-2024 16:02:06,"0,380s",PASSED
closeBrowser(),Chrome 122.0.0.0,,,04-03-2024 16:02:06,04-03-2024 16:02:06,"0,407s",PASSED
,,,,,,,
Test Cases/Connexion_Deconnexion_Profils_LDAP_Valide,Chrome 122.0.0.0,,,04-03-2024 16:02:06,04-03-2024 16:02:20,"13,378s",PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,04-03-2024 16:02:06,04-03-2024 16:02:08,"1,628s",PASSED
"navigateToUrl(""http://credit-auto.qsiconseil.ma/"")",Chrome 122.0.0.0,,,04-03-2024 16:02:08,04-03-2024 16:02:12,"4,183s",PASSED
"click(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/a_Accs Crdit Auto""))",Chrome 122.0.0.0,,,04-03-2024 16:02:12,04-03-2024 16:02:13,"1,256s",PASSED
"verifyElementText(findTestObject(""Page_Crdit Auto  QSI Conseil/legend_Connectez-vous""), ""Connectez-vous"")",Chrome 122.0.0.0,,,04-03-2024 16:02:13,04-03-2024 16:02:14,"0,451s",PASSED
"setText(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/input_concat(Nom d, , utilisateur)__username""), user)",Chrome 122.0.0.0,,,04-03-2024 16:02:14,04-03-2024 16:02:15,"0,998s",PASSED
"setMaskedText(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/input_Mot de passe__password""),*********)",Chrome 122.0.0.0,,,04-03-2024 16:02:15,04-03-2024 16:02:16,"0,826s",PASSED
"click(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/button_Se connecter""))",Chrome 122.0.0.0,,,04-03-2024 16:02:16,04-03-2024 16:02:17,"1,255s",PASSED
"verifyElementText(findTestObject(""Page_Crdit Auto  QSI Conseil/h4_Bienvenue sur lapplication Crdit Auto""), ""Bienvenue sur l'application Crédit Auto"")",Chrome 122.0.0.0,,,04-03-2024 16:02:17,04-03-2024 16:02:17,"0,462s",PASSED
"click(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/a_Dconnexion""))",Chrome 122.0.0.0,,,04-03-2024 16:02:17,04-03-2024 16:02:19,"1,458s",PASSED
"verifyElementPresent(findTestObject(""Page_Crdit Auto  QSI Conseil/a_Accs Crdit Auto""), 0)",Chrome 122.0.0.0,,,04-03-2024 16:02:19,04-03-2024 16:02:19,"0,402s",PASSED
closeBrowser(),Chrome 122.0.0.0,,,04-03-2024 16:02:19,04-03-2024 16:02:20,"0,419s",PASSED
