Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/button_Se connecter""))",Chrome 122.0.0.0,,,04-03-2024 12:24:29,04-03-2024 12:24:31,"2,048s",PASSED
"click(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/a_Dconnexion""))",Chrome 122.0.0.0,,,04-03-2024 12:24:31,04-03-2024 12:24:32,"1,611s",PASSED
closeBrowser(),Chrome 122.0.0.0,,,04-03-2024 12:24:32,04-03-2024 12:24:33,"0,716s",PASSED
,,,,,,,
Test Cases/Connexion_Deconnexion_LDAP_Valide,Chrome 122.0.0.0,,,04-03-2024 12:24:33,04-03-2024 12:24:47,"14,176s",PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,04-03-2024 12:24:33,04-03-2024 12:24:36,"2,321s",PASSED
"navigateToUrl(""http://credit-auto.qsiconseil.ma/"")",Chrome 122.0.0.0,,,04-03-2024 12:24:36,04-03-2024 12:24:40,"4,336s",PASSED
"click(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/a_Accs Crdit Auto""))",Chrome 122.0.0.0,,,04-03-2024 12:24:40,04-03-2024 12:24:41,"1,333s",PASSED
"setText(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/input_concat(Nom d, , utilisateur)__username""), user)",Chrome 122.0.0.0,,,04-03-2024 12:24:41,04-03-2024 12:24:42,"1,021s",PASSED
"setMaskedText(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/input_Mot de passe__password""),*********)",Chrome 122.0.0.0,,,04-03-2024 12:24:42,04-03-2024 12:24:44,"1,181s",PASSED
"click(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/button_Se connecter""))",Chrome 122.0.0.0,,,04-03-2024 12:24:44,04-03-2024 12:24:45,"1,672s",PASSED
"click(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/a_Dconnexion""))",Chrome 122.0.0.0,,,04-03-2024 12:24:45,04-03-2024 12:24:47,"1,427s",PASSED
closeBrowser(),Chrome 122.0.0.0,,,04-03-2024 12:24:47,04-03-2024 12:24:47,"0,804s",PASSED
,,,,,,,
Test Cases/Connexion_Deconnexion_LDAP_Valide,Chrome 122.0.0.0,,,04-03-2024 12:24:48,04-03-2024 12:25:05,"16,979s",PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,04-03-2024 12:24:48,04-03-2024 12:24:50,"2,370s",PASSED
"navigateToUrl(""http://credit-auto.qsiconseil.ma/"")",Chrome 122.0.0.0,,,04-03-2024 12:24:50,04-03-2024 12:24:55,"4,590s",PASSED
"click(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/a_Accs Crdit Auto""))",Chrome 122.0.0.0,,,04-03-2024 12:24:55,04-03-2024 12:24:56,"1,361s",PASSED
"setText(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/input_concat(Nom d, , utilisateur)__username""), user)",Chrome 122.0.0.0,,,04-03-2024 12:24:56,04-03-2024 12:24:57,"1,021s",PASSED
"setMaskedText(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/input_Mot de passe__password""),*********)",Chrome 122.0.0.0,,,04-03-2024 12:24:57,04-03-2024 12:24:58,"1,266s",PASSED
"click(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/button_Se connecter""))",Chrome 122.0.0.0,,,04-03-2024 12:24:58,04-03-2024 12:25:00,"1,423s",PASSED
"click(findTestObject(""Object Repository/Page_Crdit Auto  QSI Conseil/a_Dconnexion""))",Chrome 122.0.0.0,,,04-03-2024 12:25:00,04-03-2024 12:25:04,"3,938s",PASSED
closeBrowser(),Chrome 122.0.0.0,,,04-03-2024 12:25:04,04-03-2024 12:25:05,"0,913s",PASSED
